,Track,Album_Name,Artist,Release_Date,ISRC,All_Time_Rank,Track_Score,Spotify_Streams,Spotify_Playlist_Count,Spotify_Playlist_Reach,Spotify_Popularity,YouTube_Views,YouTube_Likes,TikTok_Posts,TikTok_Likes,TikTok_Views,YouTube_Playlist_Reach,Apple_Music_Playlist_Count,AirPlay_Spins,SiriusXM_Spins,Deezer_Playlist_Count,Deezer_Playlist_Reach,Amazon_Playlist_Count,Pandora_Streams,Pandora_Track_Stations,Soundcloud_Streams,Shazam_Counts,TIDAL_Popularity,Explicit_Track,numero_ligne,Pandora_Track,spotify_artist_id,spotify_followers_feb25,artist_genres
2863,Better Together,What You See Is What You Get,Luke Combs,2019-11-08,US6XF1800183,2953,25.6,356603747,49050,9648670,69.0,0,963031,230846,40924132,290236180,241022862,22.0,191240,30,3,0,17,226949796,"90,020",0,1161234,,0,2973,226949796,718COspgdWOnwOFpJHRZHS,12278794,Error: 429
336,ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,2023-04-12,JPP302300157,351,81.8,356559943,47785,12078942,69.0,0,4295510,504800,162429655,1871819472,1227624888,59.0,1883,0,7,0,12,540614,419,0,804248,,0,351,540614,64tJ2EAv1R6UaZqc4iOCyj,8828031,Error: 429
1817,Shaky Shaky,Shaky Shaky,Daddy Yankee,2016-04-08,US2BU1600020,1872,33.6,355833360,32831,9930933,57.0,0,6950519,673957,68853618,580818135,246854508,32.0,9113,64,22,0,22,49501753,"161,901",0,2606582,,0,1882,49501753,4VMYDCV2IEDYJArk749S6m,36520725,Error: 429
630,Afraid To Feel,Afraid To Feel,LF SYSTEM,2022-05-02,GBAHT2200492,656,59.3,355203657,146218,60783514,74.0,0,381567,201874,142211766,1767047572,746547494,112.0,113950,369,55,0,35,69412,"1,389",12813061,3424307,,0,658,69412,0HxX6imltnNXJyQhu4nsiO,88666,Error: 429
13,Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436,43025,108168634,88.0,0,1456177,0,0,0,174491415,153.0,90237,3,55,0,109,26252264,"18,364",12038034,1963314,,1,14,26252264,1RyvyyTE3xzB2ZywiAwp0i,20461106,Error: 429
3680,Get Back,Meet The Woo 2,Pop Smoke,2020-02-07,USUM72002036,3800,21.9,355137565,123588,10315713,64.0,0,408483,684467,61667693,637177334,15755,7.0,154,0,3,0,2,14235351,"8,123",0,1086060,,1,3812,14235351,0eDvMgVFoNV3TpwtrVCoTj,14985695,Error: 429
3186,3 Headed Goat (feat. Lil Baby & Polo G),3 Headed Goat,Lil Durk,2020-05-07,USUM72009132,3294,23.9,354889332,121632,12554800,65.0,0,1597342,32776,14487556,91865926,19727912,53.0,5126,0,7,0,7,24480728,"26,981",0,881261,,1,3305,24480728,3hcs9uc56yIGFCSy9leWe7,8608372,Error: 429
2332,Hypnotized,Hypnotized,Purple Disco Machine,2020-04-08,AUDCB1701555,2419,29.0,354683755,77323,15730444,58.0,0,1027195,16828,3791734,43216239,20989951,93.0,274845,0,49,0,24,343587,727,0,8349963,,0,2418,343587,2WBJQGf1bT1kxuoqziH5g4,782575,Error: 429
3488,Godï¿½ï¿½ï¿½,GO LIVE,Stray Kids,2020-06-17,US5TA2000037,3600,22.6,354643707,30447,7012694,68.0,0,8469062,147664,141180977,703479878,34239087,14.0,887,20,5,0,16,2869102,"9,153",0,0,,0,3617,2869102,2dIgFjalVxs4ThymZ67YCE,18264902,Error: 429
1019,El Cielo,El Cielo - Single,Sky Rompiendo,2023-06-02,USSD12300241,1068,46.4,354097795,53606,50446311,74.0,0,599270,26367,10289035,107126101,9653765,64.0,18198,53,37,0,19,5226972,391,0,542456,,1,1069,5226972,51XrH5fQP2oIQynuKxSWcW,334949,Error: 429
