,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
831,Gimme Love,Gimme Love,Sia,2023-09-13,USAT22307798,843,52.9,105947434,11648,11690122,6.0,27707323,325476,688,463074,12855128,1157866791,55.0,224009,172,40,0,21,1319886,112,0,1684376,0,1319886,,,,,,,,
832,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,2024-03-07,BRWMB2400220,842,52.9,71944011,5329,22615957,67.0,89527069,935574,0,0,0,195273347,,7,0,32,0,14,0,0,0,0,1,,,,,,,,,
833,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,2024-01-19,INS182400204,848,52.8,114992281,3618,12001774,75.0,144797885,1123962,0,0,0,1197864632,19.0,555,0,0,0,27,0,0,0,286797,0,,,,,,,,,
834,Arjan Vailly,"Arjan Vailly (From ""ANIMAL"")",Manan Bhardwaj,2023-11-18,INS182303269,849,52.8,123276250,8330,3632731,,208302578,1903455,0,0,0,336717167,6.0,286,0,0,0,11,0,0,0,146801,0,,,,,,,,,
835,Demons,Continued Silence - EP,Imagine Dragons,2012-01-01,USUM71201071,847,52.8,2270796677,263640,71470111,80.0,1738647396,12375429,261866,25465591,296361891,273191644,70.0,144439,465,88,0,29,1087793804,0,26345651,18161724,0,1087793804,32.0,UCT9zcQNlyht7fRlcjmflRSA,ImagineDragons,https://www.youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA,32400000.0,20293451610.0,210.0,78700.0
836,Supalonely,STELLA & STEVE,BENEE,2019-11-15,USUM71922597,845,52.8,738407486,111662,26764629,62.0,363250356,4622840,4814901,442756956,3587729796,287718975,153.0,249364,150,115,0,27,61533676,0,0,6834164,1,61533676,218.0,UCqkzefLq9-QoYwFwolcImQw,beneemusic,https://www.youtube.com/channel/UCqkzefLq9-QoYwFwolcImQw,1240000.0,608110801.0,60.0,198719.0
837,Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,2011-11-20,QMUY41500008,846,52.8,2080878370,242511,79506771,76.0,308933095,2370617,270919,33270068,289518843,216000,497.0,168731,0,250,0,96,649970533,0,231244214,26993119,1,649970533,80.0,UCMJ5Qf3sOvQpcYiai1Noa3Q,majorlazer,https://www.youtube.com/channel/UCMJ5Qf3sOvQpcYiai1Noa3Q,14900000.0,10174836105.0,500.0,33245.0
838,Spin Bout U,Her Loss,Drake,2022-11-04,USUG12208603,856,52.6,356685934,88034,16963292,71.0,56086730,430375,76706,32337952,229937284,258434,37.0,412,93,3,0,37,48943722,0,13209166,1574072,1,48943722,28.0,UCSePgMI6WVzSE7rjiNj6jnA,DrakeRofls,https://www.youtube.com/channel/UCSePgMI6WVzSE7rjiNj6jnA,351000.0,114070368.0,1352.0,17296.0
839,From The Start,From The Start - Single,Laufey,2023-05-11,QM6N22309399,855,52.6,368256958,53922,25450036,73.0,69276606,1394619,224617,128900059,772554264,9780,27.0,8642,319,13,0,89,855743,0,5861183,1011059,0,855743,,,,,,,,
840,ZOOM,ZOOM,Jessi,2022-04-13,KRA382204517,850,52.6,166161044,22288,7774873,61.0,303569838,5827005,3903605,865870535,9393168416,146065235,5.0,5680,32,5,0,8,0,0,0,778299,0,,,,,,,,,
