,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
0,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936,150597040,210.0,40975,684,62,0,114,18004655,0,4818457,2669262,0,18004655,,,,,,,,
1,Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188.0,40778,3,67,0,111,7780028,0,6623075,1118279,1,7780028,65.0,UC3lBXcrKFnFAFkfVk5WuKcQ,kendricklamar,https://www.youtube.com/channel/UC3lBXcrKFnFAFkfVk5WuKcQ,18000000.0,8991700913.0,40.0,46423905.0
2,i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610,373784955,190.0,74333,536,136,0,172,5022621,0,7208651,5285340,0,5022621,,,,,,,,
3,Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394.0,1474799,0,264,0,210,190260277,0,0,11822942,0,190260277,9.0,UCn7dB9UMTBDjKtEKBy_XISw,MileyCyrus,https://www.youtube.com/channel/UCn7dB9UMTBDjKtEKBy_XISw,19500000.0,9581591742.0,173.0,613217.0
4,Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,0,0,112763851,182.0,12185,1,82,0,105,4493884,0,207179,457017,1,4493884,68.0,UCfM3zsQsOnfWNUppiycmBuw,eminem,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,64100000.0,32917231641.0,197.0,1879645.0
5,Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633,2867222632,138.0,522042,0,86,0,152,138529362,0,9438601,4517131,1,138529362,273.0,UC6vZl7Qj7JglLDmN_7Or-ZQ,JackHarlow,https://www.youtube.com/channel/UC6vZl7Qj7JglLDmN_7Or-ZQ,3010000.0,1923331243.0,131.0,1693482.0
6,Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,0,29584940,534915313,4601579812,280.0,383478,429,168,0,154,65447476,0,0,9990302,0,65447476,231.0,UCvILah8hAWYhYOmAG3ZjvBA,BensonBoone,https://www.youtube.com/channel/UCvILah8hAWYhYOmAG3ZjvBA,4110000.0,1929579106.0,406.0,796742.0
7,Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163,2112581620,160.0,17221,30,87,0,53,3372428,0,0,6063523,1,3372428,323.0,UCeLRb7mQ1IHhwHrXd4fD5Sw,FloyyMenor,https://www.youtube.com/channel/UCeLRb7mQ1IHhwHrXd4fD5Sw,1210000.0,1062163574.0,36.0,389610.0
8,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119,1,15,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
9,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191.0,3823,117,78,0,92,1005626,842,3679709,666302,1,1005626,314.0,UCV_CsAy5CNBX_uwDQ7RMe1Q,CentralCee,https://www.youtube.com/channel/UCV_CsAy5CNBX_uwDQ7RMe1Q,5270000.0,1767927086.0,72.0,8891664.0
10,I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413,16219,168766158,91.0,32229063,550191,0,184500,2100000,327130768,157.0,62312,71,60,0,114,23155471,0,1594605,963413,1,23155471,25.0,UCeLHszkByNZtPKcaVXOCOQQ,postmalone,https://www.youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ,27900000.0,18042086922.0,149.0,84155.0
11,The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129,2,263767,,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,1,,207.0,UCb-ikMqe9iS8GjG7WgGwCrQ,TeddySwims,https://www.youtube.com/channel/UCb-ikMqe9iS8GjG7WgGwCrQ,5110000.0,2318244037.0,540.0,235046.0
12,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000,342107131,244.0,41344,45,138,0,163,1354692,0,1313357,450344,0,1354692,34.0,UCiGm_E4ZwYSHV3bcW1pnSeQ,BillieEilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,54700000.0,18333646503.0,144.0,201687.0
13,Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436,43025,108168634,88.0,98081493,1456177,0,0,0,174491415,153.0,90237,3,55,0,109,26252264,0,12038034,1963314,1,26252264,,,,,,,,
14,bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185,277,24445,12.0,6736502312,16785489,3,1088,22234,0,1.0,1057,0,0,0,0,0,0,0,3288,0,,,,,,,,,
15,LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569,103605,79944921,79.0,934302031,4294166,11054500,521725116,7499234052,2042145659,94.0,92231,228,60,0,83,12171026,0,871978,2765808,1,12171026,255.0,UCLk8IJ1TwI7Xl7UUfAD8xPQ,MykeTowers,https://www.youtube.com/channel/UCLk8IJ1TwI7Xl7UUfAD8xPQ,13700000.0,11289851564.0,1245.0,531732.0
16,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400,12784,177932568,89.0,104673836,2484083,139300,25348800,207317000,268893710,221.0,129968,3,99,0,134,9961769,0,377734,1210029,0,9961769,70.0,UCqECaJ8Gagnn7YCbPEzWH6g,TaylorSwift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,60700000.0,38424103158.0,285.0,928938.0
17,greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694,105218,198845580,87.0,141646818,1514837,2294429,419319161,5456156211,2667285437,207.0,667329,0,188,0,150,44850379,0,0,6973652,1,44850379,122.0,UCQh6LB206jF3JxpCDD-fp5Q,TateMcRae,https://www.youtube.com/channel/UCQh6LB206jF3JxpCDD-fp5Q,5810000.0,2110359810.0,532.0,376490.0
18,BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461,6499,52287548,86.0,16038053,569377,941900,119740900,1225345800,5839168,76.0,181,1,24,0,33,283089,162,975891,257661,0,283089,34.0,UCiGm_E4ZwYSHV3bcW1pnSeQ,BillieEilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,54700000.0,18333646503.0,144.0,201687.0
19,As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535,407119,169783402,87.0,800899315,9101589,2755903,1633970617,15405881843,7289707052,455.0,1777811,0,330,0,189,132624772,0,0,14967379,0,132624772,27.0,UCZFWPqqPkFlNwIxcpsLOwew,HarryStyles,https://www.youtube.com/channel/UCZFWPqqPkFlNwIxcpsLOwew,14900000.0,7016040024.0,17.0,1546081.0
20,Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331,170890,121712197,78.0,240970670,2749668,3091732,652428798,7095564106,1063591802,158.0,400899,273,143,0,146,70291476,0,0,7559816,1,70291476,,,,,,,,
21,Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871,24425,262343414,95.0,107550212,1825761,209200,169144295,1379499000,422646034,298.0,37208,236,167,0,149,10362898,0,1551157,1373085,1,10362898,,,,,,,,
22,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24,278.9,426700979,34044,152928632,86.0,35724356,437980,1470500,485200392,6518604175,1213175656,159.0,309497,257,194,0,177,13860535,0,0,2100708,1,13860535,,,,,,,,
23,Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,0,1,2,,0,0,9453333,273236305,4306269694,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759,3504,661084,35.0,4233958,69990,37621885,1636811753,22918660728,0,1.0,0,439,1,6,1,0,0,0,633525,0,,,,,,,,,
25,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349,451732,134793519,78.0,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513.0,1510151,0,166,0,128,196783487,0,36341585,0,1,196783487,26.0,UC6G2vAJrt407lwiynW116Eg,TheKidLAROI,https://www.youtube.com/channel/UC6G2vAJrt407lwiynW116Eg,5830000.0,2694554522.0,100.0,150535.0
26,Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868,60945,7530769,71.0,16322756555,48757673,7743800,281762094,6577639193,2166611,33.0,284,142,19,0,17,86458847,0,0,2064420,0,86458847,335.0,UCcdwLMPsaU2ezNSJU1nFoBQ,Pinkfong,https://www.youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ,80400000.0,48475524231.0,3460.0,10081.0
27,we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364,26203,197494995,87.0,156882014,3080503,0,0,0,578568464,194.0,200230,32,117,0,126,10106573,0,1612479,1579980,0,10106573,,,,,,,,
28,Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671,128,485454,,0,0,0,0,0,0,,0,0,0,0,0,179867721,0,0,4474248,1,179867721,123.0,UCN-sc1xJr-QQNj_uNIM9wTA,jayzslifeandtimes,https://www.youtube.com/channel/UCN-sc1xJr-QQNj_uNIM9wTA,3830000.0,2618175338.0,,619722.0
29,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
30,SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397,3479,25936342,82.0,359896095,4907193,212500,48327004,390081328,38798822,36.0,2188,32,3,0,26,130743,592,265670,191867,0,130743,,,,,,,,
31,Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179,98450,150471020,83.0,265180930,2566846,2114363,369150956,3932956380,3031114430,225.0,486952,0,180,0,188,40418532,0,6049784,6447136,0,40418532,328.0,UC8HOgNWipVorrlBH8oN2R-A,Tylaofficial,https://www.youtube.com/channel/UC8HOgNWipVorrlBH8oN2R-A,4620000.0,1628517138.0,161.0,403050.0
32,Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960,139141,103879363,79.0,118208096,1495758,1031447,196985853,2231749390,1745168821,163.0,378114,856,113,0,112,20228317,0,10938075,7477917,0,20228317,215.0,UCX3IrV7uIir6yzMM9kOtH1Q,kenyagracebaby,https://www.youtube.com/channel/UCX3IrV7uIir6yzMM9kOtH1Q,266000.0,195939259.0,34.0,64862.0
33,Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790,23557,67488850,,62123098,923733,0,0,0,384716227,221.0,151990,64,42,0,47,31032977,0,1516649,0,0,31032977,36.0,UCwAam3W_VLfb6mEKPW2nDFg,hozier,https://www.youtube.com/channel/UCwAam3W_VLfb6mEKPW2nDFg,4450000.0,3362736392.0,193.0,767499.0
34,What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905,7,1519,,0,0,0,0,0,0,,0,0,0,0,1,121250721,0,0,3692067,0,121250721,,,,,,,,
35,A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522,25766,180237463,96.0,62694868,837616,0,27811667,378313942,243895569,149.0,0,141,58,0,146,21453034,0,4482348,1707213,1,21453034,,,,,,,,
36,Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157,88239,180617454,87.0,139180960,1504385,396560,49060857,597513595,4016801205,215.0,605841,162,133,0,120,253538985,0,5409388,10517831,0,253538985,207.0,UCb-ikMqe9iS8GjG7WgGwCrQ,TeddySwims,https://www.youtube.com/channel/UCb-ikMqe9iS8GjG7WgGwCrQ,5110000.0,2318244037.0,540.0,235046.0
37,fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727,188142,80392612,80.0,94699547,1222012,1237229,311252391,3281790327,140623676,123.0,265291,0,40,0,88,64456799,0,33130829,3945184,1,64456799,209.0,UCAkIMkEaa9sZmjcy7mfd5lQ,GunnaOfficial,https://www.youtube.com/channel/UCAkIMkEaa9sZmjcy7mfd5lQ,3030000.0,2386427786.0,355.0,8391690.0
38,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106,375201,64901153,71.0,3366447481,27240268,10342366,393814740,5861939942,2428166573,549.0,573733,169,584,0,121,373294159,0,37430204,44842636,0,373294159,23.0,UCQeiBlCcS4-XGwFjrvDn96w,tonesandi,https://www.youtube.com/channel/UCQeiBlCcS4-XGwFjrvDn96w,5440000.0,3213402130.0,180.0,20021.0
39,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645,10871,202626837,92.0,11033725,251373,251200,71078500,443104700,148058631,247.0,3400,8,67,0,125,840442,0,1369981,285858,0,840442,34.0,UCiGm_E4ZwYSHV3bcW1pnSeQ,BillieEilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,54700000.0,18333646503.0,144.0,201687.0
40,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614,27827,5784546,41.0,22280037,334523,14348249,948225544,12196985599,0,2.0,672,0,4,0,9,270610,0,0,0,1,270610,,,,,,,,
41,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422,262248,239957538,83.0,466080689,4324989,728093,54258768,1051836430,1425853925,285.0,935190,0,207,0,168,139926990,0,8007236,10973120,1,139926990,62.0,UC1l7wYrva1qCH-wgqcHaaRg,davidguetta,https://www.youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,27100000.0,20704165795.0,926.0,47504.0
42,Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069,177800,85255689,82.0,274070101,3701289,2557115,285329503,2578518632,1205538057,163.0,259255,96,77,0,80,28924685,0,9505098,8681350,0,28924685,99.0,UClKtjI8iP1Q9EvsiqNbgYoQ,david.kushner,https://www.youtube.com/channel/UClKtjI8iP1Q9EvsiqNbgYoQ,1670000.0,879555214.0,320.0,146735.0
43,My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304,105927,92834002,86.0,48093111,959175,3648759,857220853,5469808282,298259422,91.0,36285,0,63,0,110,6151267,0,7980051,2682219,0,6151267,289.0,UC-GjYlrAWIHgwNDnbFHZ77g,mitskileaks,https://www.youtube.com/channel/UC-GjYlrAWIHgwNDnbFHZ77g,2490000.0,1033683889.0,111.0,247446.0
44,Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441,2572,183043096,83.0,22374807,1026097,0,188200,1200000,110446147,199.0,2359,2,73,0,98,360163,758,9883,47115,1,360163,,,,,,,,
45,Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071,45300,87874006,80.0,150571504,1575378,93500,35970610,386610043,3129834452,174.0,564640,405,146,0,127,25843941,0,1991527,2389957,0,25843941,37.0,UC-J-KZfRV8c13fOCkhXdLiQ,dualipa,https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ,24000000.0,14141660405.0,308.0,16156875.0
46,If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492,43923,46133083,69.0,61986821,921044,13872768,390207653,5684815935,19218089,78.0,92638,822,41,0,36,7444354,0,0,2227494,1,7444354,,,,,,,,
47,Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405,178114,49464650,74.0,9537135721,61799279,799338,78304409,1143297071,569548901,179.0,121234,116,145,0,118,266603596,0,0,19622551,0,266603596,,,,,,,,
48,euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320,17168,62516401,86.0,53604746,1846535,0,0,0,174375427,65.0,6408,77,20,0,31,3156727,0,4304870,654482,1,3156727,65.0,UC3lBXcrKFnFAFkfVk5WuKcQ,kendricklamar,https://www.youtube.com/channel/UC3lBXcrKFnFAFkfVk5WuKcQ,18000000.0,8991700913.0,40.0,46423905.0
49,Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271,249,8585,25.0,2457026781,0,190,36666,393580,0,,12,0,0,0,0,0,0,0,1881,0,,,,,,,,,
50,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322,163876,130963116,77.0,902742581,8099187,599,48035,2857920,750030685,316.0,1107265,0,112,0,146,52073859,0,5820026,3521951,0,52073859,,,,,,,,
51,Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734,316378,148037882,80.0,8013997219,45770887,2270315,194420058,2320856331,2294804623,465.0,402829,282,512,0,115,733565655,0,78149375,1146246,0,733565655,24.0,UC0C-w0YjGpqDXGB8IHb662A,EdSheeran,https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,55900000.0,33762975773.0,553.0,321606.0
52,Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346,42,16861,13.0,2432265978,8162101,0,0,0,0,,53,0,0,0,0,0,0,0,200,0,,,,,,,,,
53,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720,590392,165544011,83.0,833807130,10093211,2882064,337322563,3501177394,2258085924,859.0,1695240,0,564,0,184,489299762,0,28659471,28994660,0,489299762,,,,,,,,
54,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917,228295,64806723,80.0,193982443,2023998,423714,148085419,1268862678,444033037,152.0,952186,34,58,0,66,77382416,0,0,6205060,1,77382416,,,,,,,,
55,Dona Felicidade,Dona Felicidade,Patati Patatï¿,2024-06-04,QZNJW2423715,58,190.0,0,2,41206,,52480069,82092,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
56,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789,210583,95974138,74.0,254051906,3364206,2379787,683088623,7945975878,1524133775,203.0,718849,117,63,0,167,111398743,0,10424892,10192485,0,111398743,,,,,,,,
57,Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,0,2,135,9.0,0,0,0,0,0,0,,0,0,0,0,0,420235997,0,0,0,0,420235997,,,,,,,,
58,Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384,2,801,,222076,5430,5013500,605320683,8811416708,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
59,Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033,2483,21046278,81.0,111310770,1724693,56600,61038623,393973528,32059104,40.0,709,13,7,0,14,45515,100,255951,63283,0,45515,,,,,,,,
60,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630,173358,67603671,79.0,1516863120,8870768,4506600,549886060,6470937272,934894575,124.0,77120,327,44,0,63,111324744,0,0,3393920,1,111324744,12.0,UCmBA_wu8xGg1OfOkfW13Q0Q,BadBunnyPR,https://www.youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,49400000.0,38781991349.0,182.0,7386556.0
61,Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812,4,98,,0,0,0,0,0,0,1.0,0,0,0,0,0,390345308,0,0,0,1,390345308,,,,,,,,
62,Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088,182994,19203258,68.0,1141904909,8766235,6129450,856216952,18216656774,2952879912,138.0,191634,759,53,0,45,98290873,0,14668216,22563407,0,98290873,,,,,,,,
63,CARNIVAL,CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67,179.6,466887055,53842,103935623,84.0,27688666,449112,0,0,0,33817299,42.0,53333,0,11,0,29,1359484,0,11703609,1982000,1,1359484,,,,,,,,
64,Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537,190202,99546318,82.0,220538045,3153793,266430,152410048,1284413960,426461749,214.0,655242,0,73,0,122,57350590,0,16992932,4873832,0,57350590,18.0,UCO5IQ70V7l-XpHW40HwaGsw,sza,https://www.youtube.com/channel/UCO5IQ70V7l-XpHW40HwaGsw,5910000.0,4169649532.0,39.0,617964.0
65,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245,114560,97542546,82.0,144741616,2761964,1443103,498822693,3998086216,1384310160,168.0,275119,68,108,0,111,39374594,0,5418596,4476509,0,39374594,34.0,UCiGm_E4ZwYSHV3bcW1pnSeQ,BillieEilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,54700000.0,18333646503.0,144.0,201687.0
66,Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567,252,21930,6.0,2038459981,6076902,0,0,0,0,2.0,29,0,0,0,0,1456,0,0,903,0,1456,,,,,,,,
67,Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078,486278,112416489,82.0,1272898075,14947520,1416295,513334446,5518429969,4899313022,459.0,1414326,0,170,0,95,122247640,0,0,17848778,0,122247640,33.0,UCJTs-KheOMNstaGrDL4K55Q,GlassAnimals,https://www.youtube.com/channel/UCJTs-KheOMNstaGrDL4K55Q,3190000.0,2114496408.0,235.0,26487.0
68,In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174.8,2045512421,97,488602,,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,7.0,UCZU9T1ceaOgwfLRq7OKFU4Q,LinkinPark,https://www.youtube.com/channel/UCZU9T1ceaOgwfLRq7OKFU4Q,23200000.0,17253613059.0,986.0,146648.0
69,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510,100130,74836321,74.0,776436101,12951756,4210895,797017650,11936401096,457987382,110.0,165670,180,106,0,92,48806666,0,0,2237762,0,48806666,51.0,UCmS75G-98QihSusY7NfCZtw,Bizarrap,https://www.youtube.com/channel/UCmS75G-98QihSusY7NfCZtw,22500000.0,10020463943.0,90.0,26348591.0
70,The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909,38,15023,4.0,1999374091,5708577,0,0,0,0,,59,0,0,0,0,0,0,0,1412,0,,,,,,,,,
71,Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713,127393,18652312,67.0,3203314695,41487213,5757883,187301054,1981431049,939714925,63.0,49780,0,64,0,100,181784010,0,106880548,8856633,0,181784010,10.0,UC_uMv3bNXwapHl8Dzf2p01Q,lilnasx,https://www.youtube.com/channel/UC_uMv3bNXwapHl8Dzf2p01Q,19400000.0,7131940448.0,51.0,738960.0
72,un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696,99381,57394938,75.0,878892413,4425283,796603,127651887,1669065906,1522934425,101.0,73481,225,42,0,81,55857743,0,0,2283747,0,55857743,291.0,UCKsN6xyJ2w8g7p4p9apXkYQ,GrupoFronteraOficial,https://www.youtube.com/channel/UCKsN6xyJ2w8g7p4p9apXkYQ,4250000.0,5966277105.0,257.0,873163.0
73,Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168.9,0,10230,1142937,,12489728,339414,42900000,919945708,12221514692,0,,0,0,0,0,0,5678792,0,0,0,0,5678792,178.0,UC7s8Xlc3H9uVGSwM0Dt8TeQ,Jawsh_685,https://www.youtube.com/channel/UC7s8Xlc3H9uVGSwM0Dt8TeQ,275000.0,189829111.0,41.0,1627615.0
74,Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930,199828,55464762,78.0,219666692,2332307,731797,130560533,1254944697,918145630,155.0,42082,36,41,0,76,411656,0,12405917,3093667,1,411656,,,,,,,,
75,CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711,11028,144854768,90.0,19402457,997411,284,0,0,260377114,185.0,1008,0,53,0,59,521322,698,1680434,388625,0,521322,34.0,UCiGm_E4ZwYSHV3bcW1pnSeQ,BillieEilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,54700000.0,18333646503.0,144.0,201687.0
76,TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758,78554,69319589,78.0,1102289596,8953293,457111,15048444,248168852,1174053183,138.0,149584,38,84,0,131,68022934,0,164895,3488226,1,68022934,111.0,UCZuPJZ2kGFdlbQu1qotZaHw,KarolG,https://www.youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw,39000000.0,27850286887.0,162.0,125238329.0
